Temp,Humidity,Presure,Label
32.66,57.55,1012.37,blazing_sun
32.66,57.2,1012.38,blazing_sun
32.68,56.94,1012.39,blazing_sun
32.67,57.23,1012.4,blazing_sun
32.66,57.37,1012.36,blazing_sun
32.64,57.86,1012.39,blazing_sun
32.62,58.19,1012.38,blazing_sun
32.57,58.19,1012.41,blazing_sun
32.57,57.91,1012.37,blazing_sun
32.6,57.72,1012.38,blazing_sun
32.61,57.47,1012.38,blazing_sun
32.62,57.49,1012.39,blazing_sun
32.62,57.79,1012.38,blazing_sun
32.62,57.82,1012.39,blazing_sun
32.62,58.08,1012.42,blazing_sun
32.62,58.32,1012.4,blazing_sun
32.64,58.24,1012.41,blazing_sun
32.6,58.77,1012.43,blazing_sun
32.56,58.58,1012.41,blazing_sun
32.55,58.46,1012.38,blazing_sun
32.5,58.02,1012.39,blazing_sun
32.56,57.42,1012.4,blazing_sun
32.61,57.29,1012.37,blazing_sun
32.64,57.46,1012.39,blazing_sun
32.68,57.5,1012.4,blazing_sun
32.7,57.51,1012.44,blazing_sun
32.7,57.45,1012.41,blazing_sun
32.68,57.39,1012.38,blazing_sun
32.68,57.38,1012.39,blazing_sun
32.7,57.38,1012.38,blazing_sun
32.69,57.38,1012.37,blazing_sun
32.7,57.39,1012.4,blazing_sun
32.72,57.42,1012.4,blazing_sun
32.69,57.48,1012.38,blazing_sun
32.65,57.46,1012.36,blazing_sun
32.67,57.3,1012.37,blazing_sun
32.72,56.92,1012.36,blazing_sun
32.78,56.58,1012.37,blazing_sun
32.8,56.57,1012.42,blazing_sun
32.82,56.63,1012.38,blazing_sun
32.82,56.68,1012.37,blazing_sun
32.81,56.85,1012.37,blazing_sun
32.83,56.76,1012.35,blazing_sun
32.84,56.75,1012.37,blazing_sun
32.86,56.74,1012.36,blazing_sun
32.88,56.7,1012.4,blazing_sun
32.86,56.78,1012.41,blazing_sun
32.87,56.81,1012.35,blazing_sun
32.86,56.89,1012.37,blazing_sun
32.85,57.12,1012.38,blazing_sun
32.86,56.92,1012.37,blazing_sun
32.85,56.93,1012.37,blazing_sun
32.85,57.06,1012.35,blazing_sun
32.84,57.07,1012.39,blazing_sun
32.82,57.25,1012.36,blazing_sun
32.8,57.21,1012.38,blazing_sun
32.82,57.01,1012.37,blazing_sun
32.85,57.02,1012.4,blazing_sun
32.86,56.91,1012.37,blazing_sun
32.85,56.83,1012.39,blazing_sun
32.87,56.69,1012.39,blazing_sun
32.9,56.59,1012.36,blazing_sun
32.93,56.67,1012.33,blazing_sun
32.94,56.75,1012.34,blazing_sun
32.96,56.76,1012.34,blazing_sun
32.97,56.92,1012.35,blazing_sun
32.98,57.01,1012.35,blazing_sun
32.99,56.99,1012.31,blazing_sun
32.97,57.04,1012.38,blazing_sun
32.95,56.93,1012.37,blazing_sun
32.97,56.94,1012.36,blazing_sun
32.97,57.17,1012.36,blazing_sun
32.98,57.19,1012.36,blazing_sun
32.94,57.32,1012.34,blazing_sun
32.91,57.22,1012.34,blazing_sun
32.88,57.17,1012.39,blazing_sun
32.9,56.39,1012.39,blazing_sun
32.94,56.24,1012.34,blazing_sun
32.96,56.05,1012.36,blazing_sun
32.98,55.6,1012.32,blazing_sun
32.98,55.42,1012.35,blazing_sun
33.03,55.48,1012.32,blazing_sun
32.99,55.99,1012.31,blazing_sun
32.99,56.06,1012.33,blazing_sun
32.97,55.88,1012.33,blazing_sun
32.96,56.04,1012.31,blazing_sun
32.95,55.85,1012.31,blazing_sun
32.98,55.82,1012.29,blazing_sun
32.96,55.85,1012.33,blazing_sun
33,55.83,1012.29,blazing_sun
33.02,56.16,1012.31,blazing_sun
33.02,56.38,1012.34,blazing_sun
33.02,56.17,1012.33,blazing_sun
33.03,56.17,1012.32,blazing_sun
33.04,56.24,1012.35,blazing_sun
33.04,56.36,1012.3,blazing_sun
33.01,56.33,1012.33,blazing_sun
32.97,56.76,1012.32,blazing_sun
32.99,57,1012.31,blazing_sun
33.01,56.89,1012.31,blazing_sun
33.03,56.54,1012.3,blazing_sun
33.05,56.35,1012.33,blazing_sun
33.07,56.29,1012.33,blazing_sun
33.08,56.22,1012.31,blazing_sun
33.06,56.13,1012.3,blazing_sun
33.06,56.21,1012.3,blazing_sun
33.05,56.39,1012.29,blazing_sun
33.03,56.45,1012.3,blazing_sun
33.03,56.43,1012.3,blazing_sun
33.04,56.39,1012.3,blazing_sun
33.05,56.39,1012.3,blazing_sun
33.05,56.34,1012.3,blazing_sun
33.05,56.24,1012.26,blazing_sun
33.06,56.19,1012.29,blazing_sun
33.05,56.17,1012.29,blazing_sun
33.06,56.16,1012.27,blazing_sun
33.07,56.25,1012.26,blazing_sun
33.05,56.06,1012.25,blazing_sun
33.06,55.28,1012.24,blazing_sun
33.05,55.13,1012.23,blazing_sun
33.08,55.21,1012.24,blazing_sun
33.11,55.3,1012.25,blazing_sun
33.12,55.31,1012.26,blazing_sun
33.13,55.44,1012.25,blazing_sun
33.12,55.68,1012.25,blazing_sun
33.13,55.83,1012.29,blazing_sun
33.13,56.11,1012.25,blazing_sun
33.09,56.24,1012.27,blazing_sun
33.08,56.33,1012.26,blazing_sun
33.06,56.62,1012.28,blazing_sun
33.04,56.24,1012.29,blazing_sun
33.07,56.02,1012.26,blazing_sun
33.08,55.94,1012.25,blazing_sun
33.1,55.96,1012.23,blazing_sun
33.11,56,1012.26,blazing_sun
33.12,56.08,1012.24,blazing_sun
33.12,56.13,1012.24,blazing_sun
33.08,56.48,1012.25,blazing_sun
33.08,56.51,1012.24,blazing_sun
33.04,56.41,1012.26,blazing_sun
